Order ID,Order Date,Ship Date,Ship Mode,Customer ID,Segment,City,State,Region,Category,Sub-Category,Product Name,Sales,Quantity,Discount,Profit
ddaaf681-1afd-4d8c-8fbc-9f2337fa407d,2024-02-22,2024-07-07,Second Class,b1878856-fa80-4198-a1e7-dae76a5607e4,Home Office,New Josephview,Utah,South,Furniture,Storage,Range Product,860.18,8,0.2,142.5
7bb5fec0-bdaa-4bfc-85be-701473e83b15,2024-01-21,2024-08-28,Second Class,25dcb97a-a58d-4333-81a9-ac69cc3ff630,Consumer,Kennethshire,New Jersey,South,Furniture,Chairs,Throw Product,750.87,3,0.21,0.26
5d85dd10-63a5-4172-ac92-545193e88c03,2024-09-11,2024-06-13,Second Class,b872e9f8-6ec8-4fb1-adcd-bde1eef3ca77,Corporate,Griffithview,Massachusetts,East,Office Supplies,Chairs,Age Product,444.82,7,0.19,305.94
292e05d4-07cd-469e-a980-aef38cd811c5,2024-04-09,2024-05-27,Same Day,3d198d93-ca0d-4c10-8edd-528e901ed809,Consumer,Marciaside,California,Central,Technology,Bookcases,Plant Product,614.44,9,0.36,461.71
cdf05478-0d12-4c09-827f-5d11b3c62456,2024-04-07,2024-02-10,Same Day,2553816b-94ac-4177-8106-978aa017d4f3,Corporate,Adamsport,Connecticut,Central,Furniture,Accessories,Force Product,168.76,4,0.27,441.95
bb74f9e9-78a9-4aaa-ae6d-eaf87a09b469,2024-10-19,2024-10-24,Standard Class,5cc6ea56-1cc3-4269-8e4a-12d3912e5de6,Home Office,Banksport,South Carolina,South,Furniture,Paper,Eat Product,676.91,8,0.47,208.4
d3981057-7832-4970-898e-5a08e35c2cda,2024-06-22,2024-01-28,Standard Class,02093680-654e-41b8-a753-c682c7cac2c2,Consumer,Yatesport,Oregon,East,Furniture,Tables,Country Product,187.46,3,0.13,123.83
da212c16-27e3-44b9-8164-5c5fa4516964,2024-03-12,2024-04-03,Same Day,2adf1b67-3229-4196-8d30-759574420c34,Home Office,Smithshire,Florida,East,Technology,Accessories,Sign Product,697.01,7,0.05,372.81
a848d6ec-2c43-4ede-912c-e66422a7bde5,2024-02-09,2024-05-04,Second Class,3112125d-a45e-4855-87b7-be42ab8e31aa,Consumer,West Timothybury,Missouri,Central,Technology,Tables,The Product,237.3,3,0.2,278.33
f80642c7-8343-4335-8f2c-3b2cd33bcf61,2024-04-24,2024-09-06,Second Class,8e1c9ea3-737e-4962-b25d-c2ccb7475edd,Corporate,Port Amberfurt,Washington,East,Office Supplies,Bookcases,Happen Product,126.38,7,0.31,-71.51
7c880a6e-6934-4d2f-98c5-f2c975f0d242,2024-10-19,2024-10-27,Standard Class,652aff93-c81f-45b9-9b07-1ce051e51a70,Home Office,Lake Ariana,Utah,East,Technology,Tables,Center Product,173.63,6,0.43,374.64
60218da0-b26f-4560-9457-64a519794959,2024-10-09,2024-04-25,Same Day,a269e602-487e-4241-9ae3-f28f00f9eb7c,Consumer,Jennifertown,New Jersey,East,Office Supplies,Bookcases,Debate Product,11.97,2,0.17,100.22
46ed1e67-215c-4c50-829f-7f3004b1f573,2024-02-17,2024-01-08,Standard Class,86b7f750-84d9-4b68-9da5-6194f3d2e7cf,Corporate,New Davidchester,North Carolina,West,Office Supplies,Binders,Worker Product,721.55,3,0.33,-67.71
0a0d0eb3-d445-4cd5-9bd7-27ce5376d3e0,2024-02-27,2024-05-26,Standard Class,f458ea18-f84e-4ef6-9654-9eea18a5e111,Home Office,Ayalahaven,Vermont,South,Technology,Accessories,Dark Product,735.08,6,0.18,-2.74
2c7fbbbd-7e75-4b3b-9e79-ab996d1542af,2024-03-31,2024-05-15,First Class,ca642c15-dee4-4e71-af90-2cdf0517349b,Home Office,South Anna,Alabama,Central,Office Supplies,Accessories,Election Product,519.78,4,0.31,-12.73
bd7145ef-0264-475d-af9b-0c8aaee977e2,2024-06-01,2024-08-13,First Class,4252af5f-56d1-484a-b48a-617d853a627b,Consumer,Johnsonville,South Dakota,Central,Technology,Paper,Enter Product,169.75,6,0.44,163.44
652a741b-9f0d-4f9b-8de9-231a53162017,2024-08-26,2024-07-10,First Class,c458d743-8501-411e-899e-05d99906b814,Consumer,Port Rogerstad,Massachusetts,West,Office Supplies,Bookcases,Whom Product,92.72,1,0.12,-35.94
26b21963-50dc-4f69-a9c9-2b181220af77,2024-03-22,2024-09-16,Second Class,eda4f253-2ce0-4778-af10-311154745971,Consumer,Lake Stacyside,New Hampshire,South,Technology,Storage,Simple Product,28.94,1,0.2,-113.5
a671809a-e706-4521-8e6e-a71543a7b026,2024-07-04,2024-03-10,Same Day,e920c93a-ca88-4058-ac99-7ff384eb08c5,Corporate,West Alexafurt,Virginia,Central,Technology,Binders,Mind Product,174.09,3,0.5,-113.42
8e237256-09e6-4801-baa3-8f61a49cd431,2024-09-25,2024-05-30,Same Day,b80c7abb-045a-40b0-a20f-1433c0091043,Consumer,South Ryanberg,Hawaii,East,Office Supplies,Appliances,Probably Product,891.95,8,0.43,208.29
e8af818b-55ea-48be-961a-33a92bcd4fa4,2024-09-12,2024-03-03,Same Day,62652b3f-bba2-449f-b508-b1628b39ef22,Home Office,Port Kennethstad,Alabama,Central,Furniture,Tables,West Product,249.12,8,0.28,314.33
54edbddd-224f-4c7f-88ac-70328c503b28,2024-07-12,2024-03-25,Same Day,d2d05430-664a-4d98-a3f4-3661681b6973,Home Office,Cameronbury,Wyoming,East,Office Supplies,Binders,Of Product,360.73,4,0.26,25.07
50890a9f-f824-4a5c-b903-bd4cca90f5b2,2024-03-04,2024-09-07,First Class,07a0748d-b4a5-443a-ab65-7a013137f8f5,Consumer,New Angie,North Dakota,West,Technology,Bookcases,Political Product,114.29,6,0.14,-175.74
d7dc578e-1ac5-40e9-b4af-3280dfe6589d,2024-05-05,2024-01-13,Second Class,4dbe9a93-cf9f-4eb4-b7ef-0d0fc8553d30,Consumer,Port Susan,Georgia,East,Furniture,Phones,Charge Product,230.14,8,0.26,-110.94
ea2cda48-d15c-42b4-b747-1b0192c269f8,2024-09-19,2024-10-11,Second Class,daf52439-58ed-4b60-b664-cdb4d642f074,Home Office,West Janicebury,Oregon,Central,Office Supplies,Tables,Executive Product,524.03,7,0.42,440.29
e3ef6ef6-0d2a-4377-888c-0ddf5dd057cc,2024-08-07,2024-06-05,First Class,61c1f903-eb6b-4d8c-8da0-12b25bec8c47,Corporate,Claytonland,Washington,Central,Office Supplies,Chairs,Message Product,611.68,7,0.34,145.48
b947ee21-0bde-438e-9a06-2cab61af1672,2024-09-24,2024-07-06,Second Class,087aaeaa-fcba-4fdf-aa81-77e098c64b63,Consumer,Lake Darrenview,Arkansas,Central,Office Supplies,Accessories,Dinner Product,252.9,4,0.15,117.5
b1d13c2c-8b2c-416b-80c7-1df1e4244b54,2024-01-09,2024-01-27,First Class,c26f46de-3bb9-4d20-9da5-c93bd3515085,Consumer,Griffithview,Oregon,West,Furniture,Bookcases,Son Product,67.15,9,0.1,-173.37
2f1b4dc5-2a3e-4dcb-9302-01ac62dd9fdc,2024-06-02,2024-06-11,Same Day,c0220de6-3fc7-43a0-9d3e-c018a6b7f3a0,Home Office,East Marktown,Washington,West,Technology,Chairs,Beyond Product,397.12,6,0.13,310.05
bed5bd75-4e7d-4bd2-8dc4-73c287a5cd80,2024-05-21,2024-11-03,First Class,b827bb61-4692-4bad-9f53-9e3825b198e0,Consumer,Piercemouth,Delaware,South,Office Supplies,Paper,He Product,241.86,3,0.08,169.65
d692e127-fece-466f-96e7-6a98d93ca289,2024-05-24,2024-05-30,Same Day,a4cda121-6497-4891-89ff-5984f972fb99,Corporate,South William,Illinois,Central,Office Supplies,Appliances,Full Product,227.36,5,0.05,-58.54
1d8356e2-711b-4842-8cee-31fb4980cbdc,2024-10-05,2024-04-12,Same Day,b8fef086-76f2-4146-bb9b-c4827645c402,Home Office,Jenniferside,Idaho,East,Office Supplies,Appliances,Set Product,960.26,5,0.21,-122.95
52238258-8f90-483e-9b50-487d24ca15b4,2024-05-04,2024-01-13,Standard Class,c36092a1-9cf3-4cf4-90d0-303b7d8b0b1b,Consumer,Anthonystad,North Carolina,West,Office Supplies,Chairs,Job Product,620.14,5,0.06,68.37
0c79ff26-2002-41da-be44-d6cffbdd0709,2024-09-15,2024-07-15,First Class,11387f43-2102-4331-9b08-766c4c89facc,Home Office,North Kelly,Maryland,Central,Office Supplies,Accessories,Evening Product,561.31,8,0.09,386.01
33ad753d-ad46-4db0-aa33-2255d62a8907,2024-08-15,2024-08-31,Standard Class,efe7a9b8-4b01-4894-b2bf-feeef00b731f,Consumer,Jonesmouth,Ohio,Central,Technology,Paper,Build Product,421.62,9,0.27,405.71
75331c90-efdc-424a-8c33-878747b4e325,2024-09-11,2024-08-05,First Class,50700835-b570-4de4-874c-d06be7e5e171,Consumer,Port Kayla,Colorado,West,Technology,Phones,On Product,434.65,9,0.08,221.99
28db9e18-ed4d-4122-a8bb-5523649ba05b,2024-04-21,2024-02-29,First Class,b5e2e258-3f71-4c73-891a-2a28943d15fd,Consumer,Wallsstad,Delaware,South,Office Supplies,Accessories,Say Product,545.5,6,0.03,309.28
5805b2e8-6109-47f1-aa21-ddd05069775a,2024-08-01,2024-05-02,Standard Class,7535c8b7-7a98-4e43-9856-6695299447f3,Corporate,West Richardland,Florida,West,Furniture,Binders,Either Product,699.47,6,0.16,-119.39
7c48f94d-6ce4-4a6b-800a-2d056420dbd7,2024-06-09,2024-02-03,Standard Class,dcaea13e-a953-4455-bb09-5aec8e9cfac5,Corporate,Millerhaven,Wisconsin,West,Technology,Appliances,Present Product,705.12,9,0.11,211.69
0a3232b2-f774-4547-85a5-cad05d10f520,2024-03-26,2024-09-07,First Class,a19064ba-d515-4ee8-a015-53687c3a59d3,Home Office,South Craig,Minnesota,East,Furniture,Binders,It Product,179.98,4,0.26,266.88
9c796b5d-d059-43a1-a1fc-e58623da6aa0,2024-06-05,2024-02-20,Second Class,88a20f19-51d3-4385-801c-e0dde6686b97,Consumer,Amyhaven,New Jersey,East,Technology,Tables,Set Product,505.11,6,0.05,-59.5
0a299e40-9db1-4c20-b100-9143c21c82b7,2024-01-30,2024-06-02,Same Day,4a3f697e-df33-47d7-b86a-40aba40b62d9,Consumer,Jamesside,Michigan,South,Office Supplies,Storage,Find Product,417.84,4,0.38,416.11
fd2803b9-5edb-4c88-a4a0-7f270f772dcf,2024-09-11,2024-01-06,Standard Class,9e1e5b11-b1e6-4fb9-8907-a753c4c59af5,Corporate,Harriston,Indiana,Central,Technology,Bookcases,Create Product,871.82,1,0.45,-63.5
3f2bca67-e623-4636-a4b5-30f912b0fd1f,2024-02-22,2024-04-01,Same Day,7fde9de7-00f1-41ff-a2bb-8a350af3a2c1,Consumer,Bradleytown,Maine,West,Office Supplies,Paper,Rise Product,635.1,7,0.37,19.43
f088d262-1828-4a97-8a99-eb27b4cca267,2024-10-02,2024-02-01,Second Class,f7b825c9-d783-4fda-a076-25ea51d4d5d6,Corporate,Taylorville,Pennsylvania,South,Technology,Accessories,Camera Product,537.18,6,0.27,234.39
1a5a32a4-b5c9-4faa-88db-c54ad5bddd0d,2024-07-12,2024-05-01,Second Class,8fc44334-5617-4189-99af-931b14c6f3cd,Consumer,Brianland,Hawaii,East,Office Supplies,Appliances,Success Product,124.24,9,0.43,246.85
198f5694-9eab-45a0-bf36-9367ef4c5bc6,2024-09-03,2024-04-26,Second Class,94533036-bb06-42c6-81ec-e288729398e7,Home Office,North Derrick,New Jersey,West,Office Supplies,Binders,Put Product,609.58,7,0.35,289.57
4014b833-c919-4707-95d6-ce2b916b25ff,2024-09-24,2024-07-04,Standard Class,5f2607b9-be75-4632-ac4c-a5108d7353e0,Consumer,Kaiserborough,Minnesota,Central,Office Supplies,Tables,Interesting Product,126.03,7,0.01,-121.59
cea5fb84-cba8-4378-a53b-048d9e4d9c18,2024-08-22,2024-05-18,Second Class,6347d24a-a8d2-44df-a2d9-2a09c142cbc6,Consumer,Leslieburgh,South Dakota,East,Office Supplies,Bookcases,Sort Product,343.83,2,0.2,394.63
b1d7ab06-684a-4970-b7a2-e8f8ec02cf70,2024-11-06,2024-05-18,Standard Class,7771b476-bd30-4aaa-8d7f-c87d140b39d5,Corporate,West Scottside,Oklahoma,East,Furniture,Bookcases,Purpose Product,151.41,9,0.43,172.99
2a01a1ff-9df5-46cb-8f85-0e482ac31036,2024-04-13,2024-08-24,Second Class,d18c2d85-cc72-41b2-b205-aeb3f8db1e67,Consumer,Millerborough,Rhode Island,East,Office Supplies,Accessories,Believe Product,695.15,9,0.17,129.93
f8273e1e-07be-4e13-b544-5fd819194c4c,2024-02-27,2024-09-18,Same Day,416db901-e651-47bc-8402-befcd4d0af26,Consumer,Chambersfurt,Alaska,South,Furniture,Paper,Quickly Product,214.19,6,0.02,486.77
50988c1c-1e64-4ac9-8574-f70e92b4e5ae,2024-05-17,2024-03-16,Same Day,9756aa0c-5ea7-4913-9e5c-21aefee2aa05,Corporate,Kimberlymouth,Wisconsin,Central,Furniture,Phones,Create Product,397.94,3,0.37,318.26
0a6b25d0-8edc-4a73-bc00-f3447ff008bd,2024-09-25,2024-10-07,First Class,a3b0dd8a-e713-4b9b-ab47-9c3b14812989,Home Office,Robbinsfort,Hawaii,West,Office Supplies,Accessories,Feel Product,896.72,1,0.4,-117.4
c5e2890e-d390-451b-bad1-a3e06e3b736e,2024-06-05,2024-10-04,Same Day,912df17e-330c-41ec-8859-a465fd899c14,Home Office,South Alanville,Georgia,South,Furniture,Binders,Collection Product,212.27,4,0.08,329.58
931a6045-6d90-4fbb-9439-96f030bd0c9b,2024-07-12,2024-06-30,First Class,5473d23e-eae6-4266-9aa3-90520ee09e10,Corporate,Andersonmouth,South Carolina,South,Technology,Storage,Street Product,512.73,3,0.27,-133.33
a0e7dd3a-e892-413f-8bd6-d47a70a34164,2024-08-16,2024-02-08,Same Day,bdddabdb-b1c9-433b-b94e-0f4e5566e878,Corporate,New Chad,Idaho,South,Office Supplies,Chairs,See Product,425.08,1,0.1,-180.77
79f64fbf-19cd-4ad3-89aa-ef4f6202c017,2024-04-09,2024-06-09,Standard Class,aa99932e-75e7-43e8-99cd-16f1a5b48500,Corporate,Port Timothyshire,Virginia,East,Furniture,Phones,Glass Product,27.94,3,0.36,82.54
b0122636-46fa-4746-ab15-4a78b7df9f41,2024-06-20,2024-04-22,Same Day,b57650b7-ff9a-4b92-9da1-c0e81905f2d4,Corporate,Cynthiashire,Missouri,Central,Office Supplies,Paper,Choice Product,794.83,4,0.14,495.5
44ba54f7-9bfe-4ed4-8be4-a6347c3c9411,2024-05-02,2024-04-12,First Class,ab4361a9-52e8-411f-9c36-0d2fcb0a6bdb,Corporate,New Jonathanchester,Hawaii,South,Office Supplies,Tables,Any Product,78.36,8,0.16,-77.58
3f6c84e6-1d17-40fe-991f-381f9a573f2d,2024-02-01,2024-07-29,First Class,16e8ed19-64f2-40cf-95e3-9a9614f27959,Home Office,West Thomas,Delaware,West,Office Supplies,Phones,Product Product,479.51,9,0.42,270.85
1cda3469-aa72-4abd-87c9-26513e06c84a,2024-09-11,2024-06-03,Second Class,2e4d94d5-d6d2-424b-a4f4-cd5b443974bc,Home Office,Larrystad,Wisconsin,Central,Furniture,Appliances,Not Product,565.07,3,0.24,-78.62
4e33fbec-7875-4ea8-90fa-af927eb8f59d,2024-01-07,2024-03-07,Standard Class,b52b7815-2670-4ccb-b24b-27c3424da7f5,Corporate,North Dylanfort,Idaho,West,Technology,Paper,Cup Product,632.14,6,0.33,307.35
205037c1-bcf0-494a-8c2b-918f7463f734,2024-03-19,2024-09-29,Same Day,7c88cd5f-c91d-498f-9016-ff9cb8de751d,Consumer,Lake Marilyntown,Minnesota,Central,Technology,Storage,Hard Product,691.75,5,0.2,153.75
b95d56a3-86d8-4b4c-86f9-7f73c8bddde6,2024-04-08,2024-10-21,Second Class,d933e2d2-d067-4fcc-bfa0-f86cfa13ca76,Corporate,Kelleyland,Missouri,West,Furniture,Appliances,Get Product,260.74,6,0.15,275.98
25bdebc0-f91a-4c74-912d-ad7f1a82f025,2024-07-01,2024-09-29,Same Day,29930b91-9645-4528-8ea7-91455afdb71d,Consumer,Snydershire,Montana,East,Office Supplies,Phones,Play Product,19.88,4,0.31,-57.99
02532ac1-1123-4844-a7c6-4749577ab604,2024-09-07,2024-07-20,Same Day,36f5fdeb-f50c-4791-b91d-42dc02ee8c3e,Corporate,Brendafort,New Hampshire,South,Furniture,Chairs,Nation Product,726.21,6,0.08,321.94
84920b07-c174-41ed-820e-ad7fd4cfc705,2024-09-14,2024-03-02,Second Class,50e1560a-9aa0-4a73-9b88-2062693a8f84,Corporate,Adamville,South Carolina,West,Furniture,Chairs,Pull Product,540.3,7,0.19,496.93
cd7803ab-43d8-413b-b92b-f5df9501dccf,2024-08-17,2024-02-09,Second Class,2ae5324f-8b93-4a36-9842-a1d33ee6c4bb,Home Office,Brewershire,Texas,Central,Furniture,Storage,Office Product,837.76,9,0.1,265.96
1238617e-af7c-49d1-b5ec-543ba92f4225,2024-06-20,2024-06-06,Second Class,57da75ad-ea01-405c-8dc2-bfebdb3de664,Consumer,Ramosberg,New York,South,Office Supplies,Bookcases,Serve Product,823.17,7,0.35,145.44
cf78934b-1413-410c-b981-69596582d708,2024-03-07,2024-09-18,Second Class,4d721660-1332-4b0b-9794-9761ca1e1615,Consumer,Lake Kevinshire,Vermont,South,Furniture,Tables,Test Product,844.89,6,0.47,446.22
c0a01b0b-fd25-4430-b222-9d67f85bcf3e,2024-05-22,2024-05-15,Second Class,6a66cc50-7101-48f5-aabb-3a33219adec6,Home Office,Christopherburgh,Vermont,Central,Office Supplies,Bookcases,Shoulder Product,490.24,1,0.5,-188.9
09a185d2-31a1-477d-af9b-d3e65189a68e,2024-04-07,2024-03-17,Same Day,50de9567-1d6e-4091-886d-cd15e71f1fd5,Home Office,Angelhaven,Wisconsin,West,Furniture,Chairs,Arrive Product,340.29,2,0.23,310.95
34a827d0-437b-447d-b0b1-2872bd8295a7,2024-10-22,2024-08-23,Second Class,2aecd626-a120-4056-9021-d8d344511eb2,Home Office,East Michael,Montana,East,Technology,Chairs,Crime Product,793.64,1,0.13,422.12
a6a0c75a-b791-4ccf-a990-8c50228e07bd,2024-02-09,2024-09-04,Standard Class,af305d76-af54-4350-8d2a-5af4e04c3736,Home Office,West Christopher,New Jersey,East,Furniture,Binders,Conference Product,456.78,9,0.22,-156.83
c1d9e029-401d-4084-aa32-4f4551e489bb,2024-03-26,2024-06-01,First Class,c84c14a5-7910-489d-a876-a52ba12c763c,Consumer,Patrickton,Massachusetts,West,Furniture,Appliances,Generation Product,191.61,9,0.42,115.04
6e77de86-c0f0-49a9-aebf-360cc3a139d1,2024-02-27,2024-07-29,Second Class,48773662-e7c5-44cf-9dc1-dc155c49d4a1,Consumer,Port Sandrashire,Iowa,South,Technology,Phones,Growth Product,856.42,7,0.1,-56.7
352bf241-6911-4d77-9719-ea223b9044e8,2024-01-25,2024-05-26,Second Class,11b3eb5f-6281-4e39-9cee-2378860b9713,Corporate,Bruceberg,Wisconsin,South,Office Supplies,Tables,Fast Product,883.73,2,0.48,196.56
377a2ac7-833d-4c60-a3bf-38b497aa0c82,2024-08-28,2024-02-01,Same Day,77250911-8c64-4a0f-bbdf-45ac41dd4928,Corporate,East Brandon,North Dakota,South,Office Supplies,Storage,Type Product,471.65,6,0.17,254.68
5be9e889-bea6-487e-af8e-b2a63ced3adc,2024-08-19,2024-05-14,Second Class,0b3ae1d6-4eba-4c2e-b3cc-3bc985a562aa,Home Office,Port Theresafort,Kansas,South,Furniture,Phones,Theory Product,84.94,4,0.49,11.84
a2d37c6c-955b-4403-8536-8ecd7ca08d31,2024-02-22,2024-07-10,Second Class,9740338f-9570-4a9e-a2e2-1e110ead873f,Home Office,Turnerside,Maine,West,Technology,Binders,Get Product,393.95,1,0.42,121.99
9fc6c470-97b5-41ac-b4b5-bd267664f163,2024-10-07,2024-02-05,Second Class,38a80195-b4c9-4668-a8c0-01e15692d67f,Home Office,Rodriguezfort,Indiana,South,Office Supplies,Chairs,Hold Product,805.5,1,0.4,-4.46
1026a840-582b-4430-a8ac-96440f9a0208,2024-01-11,2024-01-02,Same Day,778a610c-b946-4dd4-b3c2-4c897d3bc6ac,Corporate,Lopezchester,Louisiana,Central,Furniture,Storage,Middle Product,902.76,5,0.16,58.57
135063b4-83ad-4ecf-a040-03d2a9164d44,2024-06-12,2024-03-12,Second Class,f5d187a6-f87b-452b-b8a9-c8c3397dd8ea,Corporate,Evansmouth,New Mexico,South,Technology,Chairs,At Product,211.44,2,0,-88.32
dbc18087-586e-4016-a5b7-044531962201,2024-08-06,2024-01-01,First Class,d19d4e4d-58d4-40bc-8e29-58ced76e0fcc,Corporate,Townsendfort,North Carolina,East,Office Supplies,Tables,Order Product,76.3,4,0.19,419.89
5d38b404-cf36-4eb3-9ee2-de150632fd66,2024-05-07,2024-05-02,Same Day,5dcf8f9f-833d-441d-9369-28a865893ebe,Corporate,Victoriabury,Delaware,South,Office Supplies,Appliances,Real Product,878.58,1,0.15,-192.99
5daea46b-acd2-4876-9769-34444cef3d79,2024-09-15,2024-09-12,First Class,a6620dc2-1a3b-49ec-b1c2-277103a4de9e,Corporate,Abigailton,Mississippi,West,Technology,Phones,Season Product,395.51,4,0.02,417.69
6eee70cd-2f2e-45a0-8e06-239c9eb1d778,2024-06-04,2024-01-05,Same Day,d9aaa9f9-438b-4d6a-acea-28568b603973,Corporate,North Ronald,Pennsylvania,East,Technology,Phones,Apply Product,546.34,6,0.25,200.18
